Id;Degree deviation;Degree;Neighbors;Connective redudancy
256;1.726;8;8;0
257;2.129;10;10;0
258;4.853;22;22;0
259;3.482;15;15;0
260;1.414;7;7;0
261;5.123;18;18;0
262;10.315;34;34;0
263;1.309;7;7;0
264;14.937;45;45;0
265;5.817;20;20;0
267;17.258;55;55;0
268;1.414;7;7;0
269;2.259;11;11;0
270;2.763;12;11;0.083
271;5.624;26;26;0
272;3.758;15;15;0
273;3.423;14;14;0
274;1.69;7;7;0
275;1.726;8;7;0.125
276;0.881;5;5;0
277;7.149;32;31;0.031
279;1.726;8;8;0
280;4.403;18;18;0
281;7.248;39;35;0.103
282;2.548;12;11;0.083
283;0.728;4;3;0.25
284;0.99;6;5;0.167
285;3.423;14;14;0
286;10.635;38;36;0.053
287;1.355;6;6;0
288;18.734;57;57;0
289;13.403;44;43;0.023
290;2.195;11;11;0
291;2.05;9;9;0
292;1.03;5;5;0
293;3.742;14;13;0.071
294;2.718;11;11;0
295;2.548;12;11;0.083
297;1.414;7;7;0
298;7.557;31;31;0
299;16.185;53;53;0
300;3.064;11;11;0
301;9.289;35;33;0.057
302;2.129;10;10;0
303;2.441;11;11;0
304;1.99;10;10;0
305;1.726;8;8;0
306;3.399;13;13;0
307;3.064;11;11;0
309;1.125;6;6;0
310;5.026;22;22;0
312;0.728;4;4;0
313;13.057;44;44;0
314;2.777;14;13;0.071
315;6.496;23;23;0
316;6.599;29;27;0.069
318;3.381;14;13;0.071
319;9.256;32;30;0.062
320;8.855;36;35;0.028
321;3.574;16;15;0.062
323;2.711;16;16;0
324;18.57;63;63;0
328;2.85;13;11;0.154
332;5.514;22;21;0.045
335;3.458;17;16;0.059
336;4.106;14;14;0
337;5.425;21;20;0.048
339;3.886;17;17;0
340;6.512;22;22;0
341;4.223;20;20;0
342;2.763;12;12;0
343;7.208;31;31;0
344;3.057;12;12;0
345;12.614;53;53;0
346;2.976;14;14;0
347;2.259;11;11;0
348;8.224;30;30;0
349;2.195;11;11;0
350;5.873;19;18;0.053
351;0.452;2;2;0
352;9.331;30;30;0
353;1.05;4;4;0
354;3.226;13;12;0.077
355;9.331;30;29;0.033
356;13.943;41;41;0
357;1.457;6;6;0
358;4.495;16;15;0.062
359;2.433;9;9;0
360;1.773;7;7;0
363;1.457;6;6;0
364;3.849;17;17;0
365;3.849;17;16;0.059
366;4.3;19;19;0
367;8.635;28;28;0
368;2.499;11;10;0.091
370;1.385;5;5;0
371;1.884;8;8;0
372;2.611;11;11;0
